title,year,mxene_composition,composite_material,conductivity_value,unit,test_conditions
Tunable interlayer spacings Ti3C2Tx MXene Ni C for enhanced electromagnetic microwave absorption,2024,Ti3C2Tx,Ti3C2Tx MXene Ni C composites,42.3,dB,at 12.3 GHz
Blade-coated Ti3C2Tx MXene films for pseudocapacitive energy storage and infrared stealth,2023,Ti3C2Tx,,8000.0,S/cm,
A review of how to improve Ti3C2Tx MXene stability,2024,Ti3C2Tx,MXene-based composites,353.77,S/m,not explicitly mentioned
"Recent progress in metal chalcogenide-MXene and MOF-derived composites for supercapacitors: synthesis, challenges, and future solutions",2026,,metal chalcogenide-MXene and MOF-derived composites,353.77,S/m,not explicitly mentioned
Sea urchin-like Fe2O3 anchored on Ti3C2Tx MXene for improving the electrochemical hydrogen storage performance of Co9S8 material,2026,Ti3C2Tx,Fe2O3 Ti3C2,628.7,mAh/g,electrochemical hydrogen storage performance
Ti3C2Tx MXene decorated with CoMnO3 CoMn2O4 nanoparticles as electrocatalysts for anion exchange membrane water electrolysis,2025,Ti3C2Tx,CoMnO3 CoMn2O4 Ti3C2Tx,520.0,mA/cm²,at 1.8 V
Unleashing the potential of vanadium based MXenes for supercapacitors,2025,V2CTx,various materials,353.77,S/m,not explicitly mentioned
Experimental and DFT investigations on multifunctional Ti3C2Tx MXenes PDAAQ free standing interlayer for enhancing the cycle life and high-rate performance of Na S batteries,2026,Ti3C2Tx,PDAAQ,602.9,mAh/g,After 800 cycles
Mechanically endurable Ti3C2Tx MXene incorporated P(AM-AA) hybrid hydrogel electrolyte with enhanced Zn2+ conductivity for flexible zinc-ion batteries,2025,Ti3C2Tx,Poly(acrylamide-co-acrylic acid),20.52,S/cm,10^3 S cm^-1
Nitrogen-doped MXene for supercapacitor: A review,2025,Ti3C2Tx,,353.77,S/m,not specified
A review of recent progress in the synthesis of 2D Ti3C2Tx MXenes and their multifunctional applications,2024,Ti3C2Tx,transition metal compounds,353.77,S/m,not explicitly mentioned
"Unveiling the potential of M2X MXenes: Structure, properties, synthesis strategies, and supercapacitor applications",2025,Ti2CTx,,353.77,S/m,not specified
High-performance supercapacitor based on 3D Ti3C2Tx electrodes and sulfonated lignin gel electrolyte,2025,Ti3C2Tx,CoNi-OH 3D Ti3C2Tx,2.83,S/m,SL-doped PEDOT SL PAM KOH gel electrolyte
Review: 2D MXenes based electrochemical sensors and supercapacitors for biomedical and energy storage applications,2025,Ti3C2Tx,"MXenes carbonaceous nanocomposites, MXenes transition metal oxide composites, MXenes transition metal-dichalcogenides composites",353.77,S/m,not explicitly mentioned
Recent advances in MXene-polymer composites for high performance supercapacitor applications,2025,Ti3C2Tx,conducting polymers,353.77,S/m,not explicitly mentioned
Recent advance in the construction of 3D porous structure Ti3C2Tx MXene and their multi-functional applications,2023,Ti3C2Tx,"carbon-based materials, metal oxides, spinel, polymers, metal-based nanoparticles",353.77,S/m,not explicitly mentioned
Advances in MXene-based composites for next-generation flexible supercapacitors: From design and development to applications,2025,Ti3C2Tx,AgNP Ti3C2Tx PU composites,353.77,S/m,not explicitly mentioned
"MXene material for supercapacitor applications: A comprehensive review on properties, synthesis and machine learning for supercapacitance performance prediction",2025,Ti3C2Tx,MXene-based composites,353.77,S/m,not explicitly mentioned
Highly durable and conductive Korea traditional paper (Hanji) embedded with Ti3C2Tx MXene for Hanji-based paper electronics,2024,Ti3C2Tx,Hanji,1.33,W/m/K,For EMI shielding heat release
Recent advances in optoelectronic properties and applications of Ti3C2Tx MXene,2025,Ti3C2Tx,MXene with other materials,353.77,S/m,under ideal acid and lithium-ion concentrations
Band engineering in Ti2N Ti3C2Tx-MXene interface to enhance the performance of aqueous NH4+-ion hybrid supercapacitors,2024,Ti3C2Tx,Ti2N Ti3C2Tx,353.77,S/m,Density functional theory (DFT) calculations
"2D (Ti3C2Tx) MXene: A comprehensive review of advancements in synthesis protocols, applications in supercapacitors, sustainability targets and future prospects",2024,Ti3C2Tx,carbon,353.77,S/m,not explicitly mentioned
Self-powered fire alarm system based on Ti3C2Tx MXene PVP Piezoelectric fibers multilayers embedded with additively manufactured TPMS spacers with tunable stiffness,2025,Ti3C2Tx,MXene PVP,5.97,V,Maximum Voc
"Unlocking the key roles of N,P co-doping in Ti3C2Tx MXene for lithium-ion storage: lower lithium ion diffusion resistance and more lithium active sites",2025,Ti3C2Tx,"N,P-MXene composites",353.77,S/m,DFT calculations
MXene (Ti3C2Tx) cellulose nanofiber polyaniline film as a highly conductive and flexible electrode material for supercapacitors,2023,Ti3C2Tx,MXene (Ti3C2Tx) cellulose nanofiber polyaniline film,634.4,S/cm,Not explicitly mentioned
Sulfur-tuned MoS2 quantum dot decorated Ti3C2Tx (MXene) electrode materials for high performance supercapacitor applications,2024,Ti3C2Tx,MoS2 quantum dot decorated Ti3C2Tx,0.0,,not explicitly mentioned
Heterostructured bimetallic sulfide layered Ti3C2Tx MXene as a synergistic electrode to realize high-energy-density aqueous hybrid-supercapacitor,2022,Ti3C2Tx,heterostructured (HS) composite of nickel cobalt sulfide (NCS) nanoflowers embedded in exfoliated Ti3C2Tx MXene layers,353.77,S/m,verified by DFT calculations
Cellulose nanofiber MXene (Ti3C2Tx) liquid metal film as a highly performance and flexible electrode material for supercapacitors,2024,Ti3C2Tx,CNF MXene LM,546.4,S/cm,after 2000 cycles at a current density of 10 mA/cm²
"Ti3AlC2 MAX phase and Ti3C2TX MXene-based composites towards supercapacitor applications: A comprehensive review of synthesis, recent progress, and challenges",2023,Ti3C2Tx,"polymer, carbon, transition metal oxide",353.77,S/m,not explicitly mentioned
Synergistic Ti3C2Tx MXene quantum dot nanosheet Hybrid: Elevating supercapacitor performance,2025,Ti3C2Tx,MQD nanosheet hybrid,353.77,S/m,Electrochemical performance evaluated via a three-electrode configuration with 1 M H2SO4 as the electrolyte
Hybrid nano-architectural engineering of Ti3C2Tx MXene heterostructures for supercapacitor applications: A review,2024,Ti3C2Tx,"COFs, TMCs, LDHs, MOFs, MOF derivatives",353.77,S/m,not explicitly mentioned
A novel CoS Ti3C2Tx MXene conductive filler effectively improves the pseudocapacitive performance of conductive hydrogel electrode materials for all-solid-state supercapacitors,2024,Ti3C2Tx,PCCT (PAA chitosan CoS Ti3C2Tx),0.029,S/cm,PCCT conductive hydrogel
A novel CoS Ti3C2Tx MXene conductive filler effectively improves the pseudocapacitive performance of conductive hydrogel electrode materials for all-solid-state supercapacitors,2024,Ti3C2Tx,PCCT (PAA chitosan CoS Ti3C2Tx),0.021,S/cm,PCT (without CoS)
Applications and perspectives of Ti3C2Tx MXene in electrochemical energy storage systems,2025,Ti3C2Tx,Si composite,20000.0,S/cm,
Heterostructured Ti3C2Tx loaded NiCoCu-based layered double hydroxide as a high-performance cathode for hybrid supercapacitors,2025,Ti3C2Tx,NiCoCu-based layered double hydroxide,353.77,S/m,not explicitly mentioned
