title,authors,year,journal,mxene_composition,application_type,metric,value,unit,notes
A capacitance-enhanced MXene anode for high-performance and dual-functional quasi-solid-state ammonium ion hybrid supercapacitor,"Qiang Wang, Shenshen Guan, Ranyun Wu, Liangliang Su, Yalong Yang, Xulai Zhu, Yuxia Hu, Junpeng Zhang, Jia Si, Wei Zeng",2025,Journal of Alloys and Compounds,,sensors,pressure_monitoring_interval,11.0,N,pressure sensor for monitoring external pressure changes and human limb movements
Enhanced photoluminescence emission and pH sensitivity in oxygen-dominated functional group of highly stable Ti3C2Tx MXene,"Sheetal Sharma, Manoj Kumar Gupta, Vinod Kumar Singh",2025,Materials Chemistry and Physics,Ti3C2Tx,sensors,pH sensitivity,0.0,,"pH-dependent photoluminescence analysis indicated a decrease in excitation intensity at pH 2, suggesting a loss of intrinsic properties under acidic conditions."
A review of how to improve Ti3C2Tx MXene stability,"Wei Cao, Junli Nie, Ye Cao, Chengjie Gao, Mingsheng Wang, Weiwei Wang, Xiaoli Lu, Xiaohua Ma, Peng Zhong",2024,Chemical Engineering Journal,Ti3C2Tx,sensors,sensitivity,10.0,mV/kPa,not explicitly mentioned in the text
Ti3C2Tx MXene-based multifunctional wearable integrated sensor for simultaneous detection of humidity and pressure stimuli,"Kai Wang, Jia-Nan Ma, Qian Zhao, Jia-Hui Zhang, Kang-Dong Zhang, Yu Zhang, Ling Wang, Sheng-Bo Sang",2025,Sensors and Actuators B: Chemical,Ti3C2Tx,sensors,sensitivity,1878.05,kPa-1,For pressure detection
Ti3C2Tx MXene-based multifunctional wearable integrated sensor for simultaneous detection of humidity and pressure stimuli,"Kai Wang, Jia-Nan Ma, Qian Zhao, Jia-Hui Zhang, Kang-Dong Zhang, Yu Zhang, Ling Wang, Sheng-Bo Sang",2025,Sensors and Actuators B: Chemical,Ti3C2Tx,sensors,sensitivity,0.67,(RH)-1,For humidity detection
Ti3C2Tx MXene-based multifunctional wearable integrated sensor for simultaneous detection of humidity and pressure stimuli,"Kai Wang, Jia-Nan Ma, Qian Zhao, Jia-Hui Zhang, Kang-Dong Zhang, Yu Zhang, Ling Wang, Sheng-Bo Sang",2025,Sensors and Actuators B: Chemical,Ti3C2Tx,sensors,response_time,3.46,s,For humidity detection
Ti3C2Tx MXene-based multifunctional wearable integrated sensor for simultaneous detection of humidity and pressure stimuli,"Kai Wang, Jia-Nan Ma, Qian Zhao, Jia-Hui Zhang, Kang-Dong Zhang, Yu Zhang, Ling Wang, Sheng-Bo Sang",2025,Sensors and Actuators B: Chemical,Ti3C2Tx,sensors,recovery_time,1.5,s,For humidity detection
Ti3C2Tx MXene-based multifunctional wearable integrated sensor for simultaneous detection of humidity and pressure stimuli,"Kai Wang, Jia-Nan Ma, Qian Zhao, Jia-Hui Zhang, Kang-Dong Zhang, Yu Zhang, Ling Wang, Sheng-Bo Sang",2025,Sensors and Actuators B: Chemical,Ti3C2Tx,sensors,response_range,8.0,kPa,For pressure detection
Ti3C2Tx MXene-based multifunctional wearable integrated sensor for simultaneous detection of humidity and pressure stimuli,"Kai Wang, Jia-Nan Ma, Qian Zhao, Jia-Hui Zhang, Kang-Dong Zhang, Yu Zhang, Ling Wang, Sheng-Bo Sang",2025,Sensors and Actuators B: Chemical,Ti3C2Tx,sensors,response_range,125.0,kPa,For pressure detection
Ti3C2Tx MXene-based multifunctional wearable integrated sensor for simultaneous detection of humidity and pressure stimuli,"Kai Wang, Jia-Nan Ma, Qian Zhao, Jia-Hui Zhang, Kang-Dong Zhang, Yu Zhang, Ling Wang, Sheng-Bo Sang",2025,Sensors and Actuators B: Chemical,Ti3C2Tx,sensors,response_range,11.5,RH,For humidity detection
Ti3C2Tx MXene-based multifunctional wearable integrated sensor for simultaneous detection of humidity and pressure stimuli,"Kai Wang, Jia-Nan Ma, Qian Zhao, Jia-Hui Zhang, Kang-Dong Zhang, Yu Zhang, Ling Wang, Sheng-Bo Sang",2025,Sensors and Actuators B: Chemical,Ti3C2Tx,sensors,response_range,98.1,RH,For humidity detection
Polydopamine-bridged MXene graphene composite aerogel for bifunctional applications in supercapacitors and piezoresistive sensors,"Yunfeng Wang, Zejiang Deng, Haiyun Ou, Shi Feng, Xu Xiang",2025,Chemical Engineering Journal,,sensors,sensitivity,1.42,kPa⁻¹,high sensitivity and rapid response recovery times
"Modulation of biaxial strains on the optical responses of defective Ti3C2 Tx (T = F, O, OH) MXenes","Yulong Zhang, Zhongwei Zhao, Jieyun Yan, Huajie Song, Wenting Lv, Yu Yang",2025,Solid State Communications,Ti3C2Tx,sensors,defect_detection,0.0,,"Detecting hole defects and strain conditions of Ti3C2T2 (T = F, O, OH) MXenes"
Review: 2D MXenes based electrochemical sensors and supercapacitors for biomedical and energy storage applications,"Sourav Karmakar, Anuprava Mandal, Naresh Kumar Mani, Rinky Sha",2025,Materials Chemistry and Physics,Ti3C2Tx,sensors,sensitivity,0.1,nA/mM,for glucose detection
Review: 2D MXenes based electrochemical sensors and supercapacitors for biomedical and energy storage applications,"Sourav Karmakar, Anuprava Mandal, Naresh Kumar Mani, Rinky Sha",2025,Materials Chemistry and Physics,Ti3C2Tx,sensors,limit_of_detection,0.01,mM,for ascorbic acid detection
Review: 2D MXenes based electrochemical sensors and supercapacitors for biomedical and energy storage applications,"Sourav Karmakar, Anuprava Mandal, Naresh Kumar Mani, Rinky Sha",2025,Materials Chemistry and Physics,Ti3C2Tx,sensors,selectivity,100.0,%,for dopamine detection
Shear exfoliation of DMSO intercalated Ti3C2Tx during 3D printing process and its performance as a supercapacitor at high and low temperatures,"Mengmeng Yuan, Jingdi Shang, Libo Wang, Qixun Xia, Qianku Hu, Yukai Chang, Aiguo Zhou",2024,Ceramics International,Ti3C2Tx,sensors,temperature_range,100.0,°C,from -40°C to 60°C
Recent advance in the construction of 3D porous structure Ti3C2Tx MXene and their multi-functional applications,"Wenke Hao, Sijia Ren, Xiaodong Wu, Xiaodong Shen, Sheng Cui",2023,Journal of Alloys and Compounds,Ti3C2Tx,sensors,Sensitivity,0.0,unitless,not explicitly quantified
Highly durable and conductive Korea traditional paper (Hanji) embedded with Ti3C2Tx MXene for Hanji-based paper electronics,"Jaehoon Jeong, Hae-Jun Seok, Hak Shin, Su Bin Choi, Jong-Woong Kim, Han-Ki Kim",2024,Nano Energy,Ti3C2Tx,Temperature_Sensors,TCR,,N/A,Displayed stable resistance changes with excellent TCR values for accuracy
Influence on effective and ineffective delamination of MXene (Ti3C2Tx) by tightly anchoring tin oxide nanocomposite for boosting the specific capacitance of supercapacitor,"N. Prabhakar, A. Rajapriya, N. Ponpandian, C. Viswanathan",2022,Journal of Alloys and Compounds,Ti3C2Tx,sensors,capacitive_contribution,0.0,N/A,Trasatti method used to discover capacitive contribution
Recent advances in optoelectronic properties and applications of Ti3C2Tx MXene,"Stanly Zachariah, Ravanan Indirajith, M. Rajalakshmi",2025,Journal of Alloys and Compounds,Ti3C2Tx,sensors,Surface-Enhanced Raman Scattering (SERS),0.0,,"applicable in biological sensing, environmental pollution detection, and food safety"
Self-powered fire alarm system based on Ti3C2Tx MXene PVP Piezoelectric fibers multilayers embedded with additively manufactured TPMS spacers with tunable stiffness,"Zhong Wei Guo, Chih Chia Chen, Yi Ting Huang, Yiin Kuen Fuh",2025,Chemical Engineering Journal,Ti3C2Tx,sensors,response_time,3.0,s,Ultra-fast fire alarm response
Self-powered fire alarm system based on Ti3C2Tx MXene PVP Piezoelectric fibers multilayers embedded with additively manufactured TPMS spacers with tunable stiffness,"Zhong Wei Guo, Chih Chia Chen, Yi Ting Huang, Yiin Kuen Fuh",2025,Chemical Engineering Journal,Ti3C2Tx,sensors,reusability,0.0,n/a,MXene PVP films are reusable in fire response
Self-powered fire alarm system based on Ti3C2Tx MXene PVP Piezoelectric fibers multilayers embedded with additively manufactured TPMS spacers with tunable stiffness,"Zhong Wei Guo, Chih Chia Chen, Yi Ting Huang, Yiin Kuen Fuh",2025,Chemical Engineering Journal,Ti3C2Tx,sensors,stiffness,0.0,n/a,TPMS spacers with tunable stiffness
Self-powered fire alarm system based on Ti3C2Tx MXene PVP Piezoelectric fibers multilayers embedded with additively manufactured TPMS spacers with tunable stiffness,"Zhong Wei Guo, Chih Chia Chen, Yi Ting Huang, Yiin Kuen Fuh",2025,Chemical Engineering Journal,Ti3C2Tx,sensors,voltage_output,0.0,n/a,Thinner TPMS spacers (0.2 mm) provide higher voltage output
Synthesis and characterization of a nanocomposite consisting of Ti3C2Tx (MXene) and WS2 nanosheets for potential use in supercapacitors,"Pınar Talay Pınar, Mehmet Gülcan, Yavuz Yardım",2025,Journal of Alloys and Compounds,Ti3C2Tx,sensors,charge transfer resistance,2.29,Ω,for MXene WS2 nanocomposite
Synthesis and characterization of a nanocomposite consisting of Ti3C2Tx (MXene) and WS2 nanosheets for potential use in supercapacitors,"Pınar Talay Pınar, Mehmet Gülcan, Yavuz Yardım",2025,Journal of Alloys and Compounds,Ti3C2Tx,sensors,charge transfer resistance,3.41,Ω,for MXene
Synthesis and characterization of a nanocomposite consisting of Ti3C2Tx (MXene) and WS2 nanosheets for potential use in supercapacitors,"Pınar Talay Pınar, Mehmet Gülcan, Yavuz Yardım",2025,Journal of Alloys and Compounds,Ti3C2Tx,sensors,charge transfer resistance,5.25,Ω,for WS2
